vaar_tekst,bunke,udir_kode,udir_uri,udir_bokmaal,udir_nynorsk,likhetsskaar,duplikat_av,c_grunn
Bruke fagspråk og kunnskap om ordklasser og setningsoppbygging i samtale om egne og andres tekster.,B,KM14177,http://psi.udir.no/kl06/KM14177,bruke fagspråk og kunnskap om ordklasser og setningsoppbygning i samtale om egne og andres tekster,bruke fagspråk og kunnskap om ordklassar og setningsoppbygging i samtale om eigne og andre sine tekstar,0.990,,
Koble språklyder til bokstaver og stavemønstre og trekke bokstavlyder sammen til ord.,A,KM13330,http://psi.udir.no/kl06/KM13330,koble språklyder til bokstaver og stavemønstre og trekke bokstavlyder sammen til ord,kople språklydar til bokstavar og stavemønster og trekkje bokstavlydar saman til ord,1.000,,
"Lese og eksperimentere med å skrive kjente ord, fraser og enkle setninger.",A,KM13339,http://psi.udir.no/kl06/KM13339,"lese og eksperimentere med å skrive kjente ord, fraser og enkle setninger","lese og eksperimentere med å skrive kjende ord, frasar og enkle setningar",1.000,,
Utforske og beskrive vannets kretsløp og gjøre rede for hvorfor vann er viktig for livet på jorda.,A,KM13828,http://psi.udir.no/kl06/KM13828,utforske og beskrive vannets kretsløp og gjøre rede for hvorfor vann er viktig for livet på jorda,utforske og beskrive kretsløpet til vatnet og gjere greie for kvifor vatn er viktig for livet på jorda,1.000,,
Bruke enkle fagbegreper i arbeidet med religioner og livssyn.,A,KM14596,http://psi.udir.no/kl06/KM14596,bruke enkle fagbegreper i arbeidet med religioner og livssyn,bruke enkle fagomgrep i arbeidet med religionar og livssyn,1.000,,
"Bruke enkle strategier i språklæring, tekstskaping og kommunikasjon.",A,KM13359,http://psi.udir.no/kl06/KM13359,"bruke enkle strategier i språklæring, tekstskaping og kommunikasjon","bruke enkle strategiar i språklæring, tekstskaping og kommunikasjon",1.000,,
"Identifisere setningsledd i ulike typer setninger og bruke kunnskap om bøying av verb, substantiv og adjektiv i arbeid med egne muntlige og skriftlige tekster.",A,KM13370,http://psi.udir.no/kl06/KM13370,"identifisere setningsledd i ulike typer setninger og bruke kunnskap om bøying av verb, substantiv og adjektiv i arbeid med egne muntlige og skriftlige tekster","identifisere setningsledd i ulike typar setningar og bruke kunnskap om bøying av verb, substantiv og adjektiv i arbeid med eigne munnlege og skriftlege tekstar",1.000,,
"Reflektere over hvordan teknologi kan løse utfordringer, skape muligheter og føre til nye dilemmaer.",A,KM13840,http://psi.udir.no/kl06/KM13840,"reflektere over hvordan teknologi kan løse utfordringer, skape muligheter og føre til nye dilemmaer","reflektere over korleis teknologi kan løyse utfordringar, skape moglegheiter og føre til nye dilemma",1.000,"Reflektere over hvordan teknologi kan løse utfordringer, skape muligheter og føre til nye dilemmaer",
Drøfte hvordan energiproduksjon og energibruk kan påvirke miljøet lokalt og globalt.,A,KM13865,http://psi.udir.no/kl06/KM13865,drøfte hvordan energiproduksjon og energibruk kan påvirke miljøet lokalt og globalt,drøfte korleis energiproduksjon og energibruk kan påverke miljøet lokalt og globalt,1.000,,
Beskrive og presentere noen sentrale rituelle praksiser og etiske normer i kristendom.,A,KM14601,http://psi.udir.no/kl06/KM14601,beskrive og presentere noen sentrale rituelle praksiser og etiske normer i kristendom,beskrive og presentere nokre sentrale rituelle praksisar og etiske normer i kristendom,1.000,,
Etter 7.trinn:,C,,,,,,,trinn-overskrift
"Følge regler for rettskriving, ordbøying og setningsstruktur.",A,KM13360,http://psi.udir.no/kl06/KM13360,"følge regler for rettskriving, ordbøying og setningsstruktur","følgje reglar for rettskriving, ordbøying og setningsstruktur",1.000,"Følge regler for rettskriving, ordbøying og setningsstruktur. || - følge regler for rettskriving, ordbøying og setningsstruktur",
utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger,D,,,,,0.553,,
Etter 7. trinn:,C,,,,,,,trinn-overskrift
bruke tallinje i regning med positive og negative tall,D,,,,,0.513,,
Etter 4. trinn:,C,,,,,,,trinn-overskrift
"Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter",A,KM14162,http://psi.udir.no/kl06/KM14162,"beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter","beskrive, fortelje og argumentere munnleg og skriftleg og bruke språket på kreative måtar",1.000,"Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter. || Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter.",
"Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter.",A,KM14162,http://psi.udir.no/kl06/KM14162,"beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter","beskrive, fortelje og argumentere munnleg og skriftleg og bruke språket på kreative måtar",1.000,"Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter. || Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter",
Utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing.,D,,,,,0.734,,
Utvikle og bruke hensiktsmessige strategier for subtraksjon i praktiske situasjoner.,D,,,,,0.623,,
Etter 7. trinn:,C,,,,,,,trinn-overskrift
Leke med språket og prøve ut ulike virkemidler og framstillingsmåter i muntlige og skriftlige tekster.,A,KM14171,http://psi.udir.no/kl06/KM14171,leke med språket og prøve ut ulike virkemidler og framstillingsmåter i muntlige og skriftlige tekster,leike med språket og prøve ut ulike verkemiddel og framstillingsmåtar i munnlege og skriftlege tekstar,1.000,Leke med språket og prøve ut ulike virkemidler og framstillingsmåter i muntlige og skriftlige tekster.,
Etter 2. trinn:,C,,,,,,,trinn-overskrift
Trekke bokstavlyder sammen til ord under lesing og skriving.,A,KM14146,http://psi.udir.no/kl06/KM14146,trekke bokstavlyder sammen til ord under lesing og skriving,trekkje bokstavlydar saman til ord under lesing og skriving,1.000,Trekke bokstavlyder sammen til ord under lesing og skriving.,
Etter 4. trinn:,C,,,,,,,trinn-overskrift
Utforske og forklare samanhengar mellom dei fire rekneartane og bruke samanhengane formålstenleg i utrekningar.,D,,,,,0.556,,
Bruke fagbegreper i arbeidet med religioner og livssyn.,A,KM14607,http://psi.udir.no/kl06/KM14607,bruke fagbegreper i arbeidet med religioner og livssyn,bruke fagomgrep i arbeidet med religionar og livssyn,1.000,Bruke fagbegreper i arbeidet med religioner og livssyn.,
Etter 2. trinn,C,,,,,,,trinn-overskrift
utforske den kommutative og den assosiative egenskapen ved addisjon og bruke dette i hoderegning,D,,,,,0.717,,
Etter 3. trinn,C,,,,,,,trinn-overskrift
utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing,D,,,,,0.734,,
Etter 4. trinn,C,,,,,,,trinn-overskrift
utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger,D,,,,,0.553,,
Etter 5. trinn,C,,,,,,,trinn-overskrift
utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine,A,KM13268,http://psi.udir.no/kl06/KM13268,utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine,utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine,1.000,Utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine. || Utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine.,
Etter 6. trinn,C,,,,,,,trinn-overskrift
"formulere og løse problemer fra sin egen hverdag som har med desimaltall, brøk og prosent å gjøre, og forklare egne tenkemåter",D,,,,,0.660,,
Etter 7. trinn,C,,,,,,,trinn-overskrift
bruke sammensatte regneuttrykk til å beskrive og utføre utregninger,D,,,,,0.545,,
Etter 7. trinn:,C,,,,,,,trinn-overskrift
bruke filosofiske tenkemåter i samtale og undring,A,KM14602,http://psi.udir.no/kl06/KM14602,bruke filosofiske tenkemåter i samtale og undring,bruke filosofiske tenkjemåtar i samtale og undring,1.000,,
utforske og beskrive egne og andres perspektiver i etiske dilemmaer knyttet til hverdags- og samfunnsutfordringer,A,KM14604,http://psi.udir.no/kl06/KM14604,utforske og beskrive egne og andres perspektiver i etiske dilemmaer knyttet til hverdags- og samfunnsutfordringer,utforske og beskrive eigne og andre sine perspektiv i etiske dilemma knytte til kvardags- og samfunnsutfordringar,1.000,,
reflektere over eksistensielle spørsmål knyttet til menneskets levesett og levekår og klodens framtid,A,KM14605,http://psi.udir.no/kl06/KM14605,reflektere over eksistensielle spørsmål knyttet til menneskets levesett og levekår og klodens framtid,reflektere over eksistensielle spørsmål knytte til levesettet og levekåra til menneska og til framtida til kloden,1.000,,
Etter 10. trinn:,C,,,,,,,trinn-overskrift
utforske andres perspektiv og håndtere uenighet og meningsbrytning,A,KM14618,http://psi.udir.no/kl06/KM14618,utforske andres perspektiv og håndtere uenighet og meningsbrytning,utforske perspektiva til andre og handtere usemje og meiningsbryting,1.000,,
reflektere over eksistensielle spørsmål knyttet til det å vokse opp og leve i et mangfoldig og globalt samfunn,A,KM14619,http://psi.udir.no/kl06/KM14619,reflektere over eksistensielle spørsmål knyttet til det å vokse opp og leve i et mangfoldig og globalt samfunn,reflektere over eksistensielle spørsmål knytte til det å vakse opp og leve i eit mangfaldig og globalt samfunn,1.000,,
"identifisere og drøfte aktuelle etiske problemstillinger knyttet til menneskerettigheter, bærekraft og fattigdom",A,KM14621,http://psi.udir.no/kl06/KM14621,"identifisere og drøfte aktuelle etiske problemstillinger knyttet til menneskerettigheter, bærekraft og fattigdom","identifisere og drøfte aktuelle etiske problemstillingar knytte til menneskerettar, berekraft og fattigdom",1.000,,
Utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger.,D,,,,,0.553,,
Utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine.,A,KM13268,http://psi.udir.no/kl06/KM13268,utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine,utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine,1.000,Utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine. || utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine,
Etter 2. trinn,C,,,,,,,trinn-overskrift
Etter 4. trinn,C,,,,,,,trinn-overskrift
Identifisere ordklasser i tilpassede tekster,A,KM13344,http://psi.udir.no/kl06/KM13344,identifisere ordklasser i tilpassede tekster,identifisere ordklassar i tilpassa tekstar,1.000,,
Gi eksempler på god dyrevelferd og reflektere over hvordan dyrs behov kan ivaretas,A,KM13826,http://psi.udir.no/kl06/KM13826,gi eksempler på god dyrevelferd og reflektere over hvordan dyrs behov kan ivaretas,gi døme på god dyrevelferd og reflektere over korleis ein kan vareta behova til dyr,1.000,,
Her jobbes det med kjerneelementet - Utforsking og problemløsing:,D,,,,,0.478,,
"""Utforsking i matematikk handler om at elevene leter etter mønstre, finner sammenhenger og diskuterer seg fram til en felles forståelse."" (Udir) Denne aktiviteten gir god øvelse i dette.",D,,,,,0.414,,
Etter 7. trinn:,C,,,,,,,trinn-overskrift
"Innlede, holde i gang og avslutte samtaler om egne interesser og aktuelle emner.",A,KM13358,http://psi.udir.no/kl06/KM13358,"innlede, holde i gang og avslutte samtaler om egne interesser og aktuelle emner","innleie, halde i gang og avslutte samtalar om eigne interesser og aktuelle emne",1.000,,
Lage og følge regler og trinnvise instruksjoner i lek og spill.,A,KM13239,http://psi.udir.no/kl06/KM13239,lage og følge regler og trinnvise instruksjoner i lek og spill,lage og følgje reglar og trinnvise instruksjonar i leik og spel,1.000,,
"utforske, bruke og beskrive ulike divisjonsstrategier",B,KM13257,http://psi.udir.no/kl06/KM13257,bruke og forklare ulike divisjonsstrategier,bruke og forklare ulike divisjonsstrategiar,0.800,,
løse ligninger og ulikheter gjennom logiske resonnementer og forklare hva det vil si at et tall er en løsning på en ligning,D,,,,,0.472,,
Etter 7. trinn:,C,,,,,,,trinn-overskrift
"- utforske og bruke uttalemønstre og ord og uttrykk i lek, sang og rollespill",A,KM13355,http://psi.udir.no/kl06/KM13355,"utforske og bruke uttalemønstre og ord og uttrykk i lek, sang og rollespill","utforske og bruke uttalemønster og ord og uttrykk i leik, song og rollespel",1.000,"Utforske og bruke uttalemønstre og ord og uttrykk i lek, sang og rollespill.",
"- følge regler for rettskriving, ordbøying og setningsstruktur",A,KM13360,http://psi.udir.no/kl06/KM13360,"følge regler for rettskriving, ordbøying og setningsstruktur","følgje reglar for rettskriving, ordbøying og setningsstruktur",1.000,"Følge regler for rettskriving, ordbøying og setningsstruktur. || Følge regler for rettskriving, ordbøying og setningsstruktur.",
Sammenligne talespråk i nærmiljøet med andre talespråkvarianter i Norge og med nabospråk.,A,KM14178,http://psi.udir.no/kl06/KM14178,sammenligne talespråk i nærmiljøet med andre talespråkvarianter i Norge og med nabospråk,samanlikne talespråk i nærmiljøet med andre talespråkvariantar i Noreg og med nabospråk,1.000,,
Utforske språklig variasjon og mangfold i Norge og reflektere over holdninger til ulike språk og talespråkvarianter.,A,KM14196,http://psi.udir.no/kl06/KM14196,utforske språklig variasjon og mangfold i Norge og reflektere over holdninger til ulike språk og talespråkvarianter,utforske språkleg variasjon og mangfald i Noreg og reflektere over haldningar til ulike språk og talespråkvariantar,1.000,Utforske språklig variasjon og mangfold i Norge og reflektere over holdninger til ulike språk og talespråkvarianter,
"Eksperimentere med telling både forlengs og baklengs, velge ulike startpunkter og ulik differanse og beskrive mønstre i tellingene.",B,KM13230,http://psi.udir.no/kl06/KM13230,"telle både framlengs og baklengs, velge ulike startpunkter og ulik differanse og forklare mønstre i tellinger","telje både framlengs og baklengs, velje ulike startpunkt og ulik differanse og forklare mønster i teljingar",0.835,,
Utforske og beskrive strukturer og mønstre i lek og spill.,B,KM13262,http://psi.udir.no/kl06/KM13262,beskrive og utforske strukturer og mønstre i lek og spill,beskrive og utforske strukturar og mønster i leik og spel,0.789,,
"Måle og sammenligne størrelser som gjelder lengde og areal, ved hjelp av ikke-standardiserte og standardiserte måleenheter, beskrive hvordan og samtale om resultatene.",D,,,,,0.683,,
Bruke ulike måleenheter for lengde og masse i praktiske situasjoner og begrunne valget av måleenhet.,D,,,,,0.627,,
Bruke ikke-standardiserte måleenheter for areal og volum i praktiske situasjoner og begrunne valget av måleenhet.,D,,,,,0.657,,
"Samtale om identitet, mangfold og fellesskap og reflektere over hvordan det kan oppleves ikke å være del av fellesskapet.",A,KM14668,http://psi.udir.no/kl06/KM14668,"samtale om identitet, mangfold og fellesskap og reflektere over hvordan det kan oppleves ikke å være del av fellesskapet","samtale om identitet, mangfald og fellesskap og reflektere over korleis det kan opplevast ikkje å vere ein del av fellesskapet",1.000,,
Utforske ulike sider ved mangfold i Norge og reflektere over menneskers behov for å være seg selv og for å høre til i fellesskap.,A,KM14683,http://psi.udir.no/kl06/KM14683,utforske ulike sider ved mangfold i Norge og reflektere over menneskers behov for å være seg selv og for å høre til i fellesskap,utforske ulike sider ved mangfald i Noreg og reflektere over menneska sine behov for å vere seg sjølve og for å høyre til i fellesskap,1.000,Utforske ulike sider ved mangfald i Noreg og reflektere over menneska sine behov for å vere seg sjølve og for å høyre til i fellesskap.,
Lese med sammenheng og forståelse på papir og digitalt og bruke enkle strategier for leseforståelse.,A,KM14140,http://psi.udir.no/kl06/KM14140,lese med sammenheng og forståelse på papir og digitalt og bruke enkle strategier for leseforståelse,lese med samanheng og forståing på papir og digitalt og bruke enkle strategiar for leseforståing,1.000,,
"Oppleve naturen til ulike årstider, reflektere over hvordan naturen er i endring, og hvorfor året deles inn på ulike måter i norsk og samisk tradisjon.",A,KM13811,http://psi.udir.no/kl06/KM13811,"oppleve naturen til ulike årstider, reflektere over hvordan naturen er i endring, og hvorfor året deles inn på ulike måter i norsk og samisk tradisjon","oppleve naturen til ulike årstider, reflektere over korleis naturen er i endring, og kvifor året blir delt inn på ulike måtar i norsk og samisk tradisjon",1.000,,
utforske og bruke hensiktsmessige sentralmål i egne og andres statistiske undersøkelser,D,,,,,0.591,,
Etter 2. trinn:,C,,,,,,,trinn-overskrift
utforske den kommutative og den assosiative egenskapen ved addisjon og bruke dette i hoderegning,D,,,,,0.717,,
Etter 5. trinn:,C,,,,,,,trinn-overskrift
representere brøker på ulike måter og oversette mellom de ulike representasjonene,D,,,,,0.660,,
"Øve på sammensatte bevegelser, alene og sammen med andre",A,KM13577,http://psi.udir.no/kl06/KM13577,"øve på sammensatte bevegelser, alene og sammen med andre","øve på samansette bevegelsar, åleine og saman med andre",1.000,,
"Gjennomføre aktiviteter ut fra egne interesser og forutsetninger i dans, friluftsliv, idrettsaktiviteter og andre bevegelsesaktiviteter",A,KM13578,http://psi.udir.no/kl06/KM13578,"gjennomføre aktiviteter ut fra egne interesser og forutsetninger i dans, friluftsliv, idrettsaktiviteter og andre bevegelsesaktiviteter","gjennomføre aktivitetar ut frå eigne interesser og føresetnader i dans, friluftsliv, idrettsaktivitetar og andre bevegelsesaktivitetar",1.000,,
"Utøve et repertoar av musikk, sang, andre vokale uttrykk og dans fra samtiden og historien",A,KM13721,http://psi.udir.no/kl06/KM13721,"utøve et repertoar av musikk, sang, andre vokale uttrykk og dans fra samtiden og historien","utøve eit repertoar av musikk, song, andre vokale uttrykk og dans frå samtida og historia",1.000,,
"Lytte, eksperimentere og skape nye uttrykk med instrumenter, kropp, stemme eller lyd fra andre kilder, og presentere resultatet",A,KM13722,http://psi.udir.no/kl06/KM13722,"lytte, eksperimentere og skape nye uttrykk med instrumenter, kropp, stemme eller lyd fra andre kilder, og presentere resultatet","lytte, eksperimentere og skape nye uttrykk med instrument, kropp, stemme eller lyd frå andre kjelder, og presentere resultatet",1.000,,
Etter 7. trinn (KRØ),C,,,,,,,trinn-overskrift
Etter 7. trinn (musikk),C,,,,,,,trinn-overskrift
Etter 7.trinn,C,,,,,,,trinn-overskrift
Etter 10.trinn,C,,,,,,,trinn-overskrift
Etter 10. trinn (KRØ),C,,,,,,,trinn-overskrift
"Utforske egne muligheter til trening, helse og velvære gjennom lek, dans, friluftsliv, idrettsaktiviteter og andre bevegelsesaktiviteter",A,KM13587,http://psi.udir.no/kl06/KM13587,"utforske egne muligheter til trening, helse og velvære gjennom lek, dans, friluftsliv, idrettsaktiviteter og andre bevegelsesaktiviteter","utforske eigne moglegheiter til trening, helse og velvære gjennom leik, dans, friluftsliv, idrettsaktivitetar og andre bevegelsesaktivitetar",1.000,,
"Øve på og gjennomføre danseaktiviteter fra ungdomskulturer og andre kulturer, og sammen med medelever skape og presentere dansekomposisjoner",A,KM13589,http://psi.udir.no/kl06/KM13589,"øve på og gjennomføre danseaktiviteter fra ungdomskulturer og andre kulturer, og sammen med medelever skape og presentere dansekomposisjoner","øve på og gjennomføre danseaktivitetar frå ungdomskulturar og andre kulturar, og saman med medelevar skape og presentere dansekomposisjonar",1.000,,
Etter 10. trinn (musikk),C,,,,,,,trinn-overskrift
"Utøve et variert repertoar av musikk, sang, andre vokale uttrykk og dans",A,KM13730,http://psi.udir.no/kl06/KM13730,"utøve et variert repertoar av musikk, sang, andre vokale uttrykk og dans","utøve eit variert repertoar av musikk, song, andre vokale uttrykk og dans",1.000,,
"Samarbeide med andre om å planlegge og gjennomføre øvingsprosesser hvor det inngår selvvalgt sang, andre vokale uttrykk, spill på instrumenter eller dans, og formidle resultatet i gruppe eller individuelt",A,KM13732,http://psi.udir.no/kl06/KM13732,"samarbeide med andre om å planlegge og gjennomføre øvingsprosesser hvor det inngår selvvalgt sang, andre vokale uttrykk, spill på instrumenter eller dans, og formidle resultatet i gruppe eller individuelt","samarbeide med andre om å planleggje og gjennomføre øvingsprosessar kor det inngår sjølvvald song, andre vokale uttrykk, spel på instrument eller dans, og formidle resultatet i gruppe eller individuelt",1.000,,
Ettter 7. trinn:,C,,,,,,,overskrift (kolon)
Etter 10. trinn,C,,,,,,,trinn-overskrift
"Presentere og gi eksempler på rettigheter barn har i Norge og verden, og hva barn kan gjøre ved brudd på disse rettighetene.",A,KM14724,http://psi.udir.no/kl06/KM14724,"presentere og gi eksempler på rettigheter barn har i Norge og verden, og hva barn kan gjøre ved brudd på disse rettighetene","presentere og gi døme på rettar barn har i Noreg og verda, og kva barn kan gjere ved brot på desse rettane",1.000,,
Samtale om menneske- og likeverd og sammenligne hvordan menneskerettighetene er blitt og blir ivaretatt i ulike land.,A,KM14689,http://psi.udir.no/kl06/KM14689,samtale om menneske- og likeverd og sammenligne hvordan menneskerettighetene er blitt og blir ivaretatt i ulike land,samtale om menneske- og likeverd og samanlikne korleis menneskerettane er blitt og blir varetekne i ulike land,1.000,,
"Presentere menneskerettigheter og rettigheter som barn har, og reflektere over hvorfor disse rettighetene finnes.",A,KM14670,http://psi.udir.no/kl06/KM14670,"presentere menneskerettigheter og rettigheter som barn har, og reflektere over hvorfor disse rettighetene finnes","presentere menneskerettar og rettar barn har, og reflektere over kvifor desse rettane finst",1.000,,
Bruke komma og andre skilletegn i tekster.,A,KM14157,http://psi.udir.no/kl06/KM14157,bruke komma og andre skilletegn i tekster,bruke komma og andre skiljeteikn i tekstar,1.000,,
Kjenne igjen og beskrive repeterende enheter i mønstre og lage egne mønstre.,A,KM13236,http://psi.udir.no/kl06/KM13236,kjenne igjen og beskrive repeterende enheter i mønstre og lage egne mønstre,kjenne att og beskrive repeterande einingar i mønster og lage eigne mønster,1.000,Kjenne att og beskrive repeterande einingar i mønster og lage eigne mønster.,
Eksperimentere med og forklare plasseringer i koordinatsystemet.,B,KM13251,http://psi.udir.no/kl06/KM13251,"eksperimentere med, navngi og plassere punkter i koordinatsystemet","eksperimentere med, namngi og plassere punkt i koordinatsystemet",0.812,,
Lage og følge regler og trinnvise instruksjoner i lek og spill knyttet til koordinatsystemet.,A,KM13252,http://psi.udir.no/kl06/KM13252,lage og følge regler og trinnvise instruksjoner i lek og spill knyttet til koordinatsystemet,lage og følgje reglar og trinnvise instruksjonar i leik og spel knytte til koordinatsystemet,1.000,Lage og følgje reglar og trinnvise instruksjonar i leik og spel knytte til koordinatsystemet.,
